"Назовите из Корана слово однокоренное к слову أكبر"
"Назовите из Корана слово однокоренное к слову صلاة"
"Назовите из Корана слово однокоренное к слову شرك"
"Назовите из Корана слово однокоренное к слову سلام"
"Назовите короткую суру, в которой нет буквы ف"
"Назовите однокоренной глагол к слову ظالم из суры Бакара"
"Назовите однокоренное существительное к слову خالق из суры ТаХа"
"Найдите в Коране однокоренное слово к слову فاتحة"
"Найдите в Коране однокоренное слово к слову رحيم"
"Найдите в Коране наиболее близкое по смыслу слово к слову جودة"
